Nombres,Apellidos,Fecha de Nacimiento,Tipo de Documento,Numero Documento,Departamento,Municipio,Barrio,Direccion,Genero,Telefono,Correo,Usuario,Contrasena,Estrato
prueba0,prueba0,07/06/2021,CC,0,Valle del Cauca,Cali,Caney,prueba0,Hombre,0,prueba0@gmail.com,prueba0,prueba0,3
prueba1,prueba1,07/06/2021,CC,1,Valle del Cauca,Cali,Caney,prueba1,Hombre,1,prueba1@gmail.com,prueba1,prueba1,3
prueba2,prueba2,07/06/2021,CC,2,Valle del Cauca,Cali,Caney,prueba2,Hombre,2,prueba2@gmail.com,prueba2,prueba2,3
prueba3,prueba3,07/06/2021,CC,3,Valle del Cauca,Cali,Caney,prueba3,Hombre,3,prueba3@gmail.com,prueba3,prueba3,3
prueba4,prueba4,07/06/2021,CC,4,Valle del Cauca,Cali,Caney,prueba4,Hombre,4,prueba4@gmail.com,prueba4,prueba4,3
prueba5,prueba5,07/06/2021,CC,5,Valle del Cauca,Cali,Caney,prueba5,Hombre,5,prueba5@gmail.com,prueba5,prueba5,3
prueba6,prueba6,07/06/2021,CC,6,Valle del Cauca,Cali,Caney,prueba6,Hombre,6,prueba6@gmail.com,prueba6,prueba6,3
prueba7,prueba7,07/06/2021,CC,7,Valle del Cauca,Cali,Caney,prueba7,Hombre,7,prueba7@gmail.com,prueba7,prueba7,3
prueba8,prueba8,07/06/2021,CC,8,Valle del Cauca,Cali,Caney,prueba8,Hombre,8,prueba8@gmail.com,prueba8,prueba8,3
prueba9,prueba9,07/06/2021,CC,9,Valle del Cauca,Cali,Caney,prueba9,Hombre,9,prueba9@gmail.com,prueba9,prueba9,3
prueba10,prueba10,07/06/2021,CC,10,Valle del Cauca,Cali,Caney,prueba10,Hombre,10,prueba10@gmail.com,prueba10,prueba10,3
prueba11,prueba11,07/06/2021,CC,11,Valle del Cauca,Cali,Caney,prueba11,Hombre,11,prueba11@gmail.com,prueba11,prueba11,3
prueba12,prueba12,07/06/2021,CC,12,Valle del Cauca,Cali,Caney,prueba12,Hombre,12,prueba12@gmail.com,prueba12,prueba12,3
prueba13,prueba13,07/06/2021,CC,13,Valle del Cauca,Cali,Caney,prueba13,Hombre,13,prueba13@gmail.com,prueba13,prueba13,3
prueba14,prueba14,07/06/2021,CC,14,Valle del Cauca,Cali,Caney,prueba14,Hombre,14,prueba14@gmail.com,prueba14,prueba14,3
prueba15,prueba15,07/06/2021,CC,15,Valle del Cauca,Cali,Caney,prueba15,Hombre,15,prueba15@gmail.com,prueba15,prueba15,3
prueba16,prueba16,07/06/2021,CC,16,Valle del Cauca,Cali,Caney,prueba16,Hombre,16,prueba16@gmail.com,prueba16,prueba16,3
prueba17,prueba17,07/06/2021,CC,17,Valle del Cauca,Cali,Caney,prueba17,Hombre,17,prueba17@gmail.com,prueba17,prueba17,3
